 SOUID,    DATE,   QQ, Q_QQ
210187,19790101,   52,    0
210187,19790102,   27,    0
210187,19790103,   13,    0
210187,19790104,   13,    0
210187,19790105,   29,    0
210187,19790106,   39,    0
210187,19790107,   13,    0
210187,19790108,   15,    0
210187,19790109,   50,    0
210187,19790110,   30,    0
210187,19790111,   55,    0
210187,19790112,   54,    0
210187,19790113,   57,    0
210187,19790114,   14,    0
210187,19790115,   15,    0
210187,19790116,   15,    0
210187,19790117,   15,    0
210187,19790118,   15,    0
210187,19790119,   16,    0
210187,19790120,   16,    0
210187,19790121,   16,    0
210187,19790122,   16,    0
210187,19790123,   17,    0
210187,19790124,   54,    0
210187,19790125,   17,    0
210187,19790126,   42,    0
210187,19790127,   39,    0
210187,19790128,   47,    0
210187,19790129,   31,    0
210187,19790130,   30,    0
210187,19790131,   38,    0
210187,19790201,   19,    0
210187,19790202,   37,    0
210187,19790203,   85,    0
210187,19790204,   23,    0
210187,19790205,   33,    0
210187,19790206,   78,    0
210187,19790207,   21,    0
210187,19790208,   45,    0
210187,19790209,   22,    0
210187,19790210,   23,    0
210187,19790211,   23,    0
210187,19790212,   27,    0
210187,19790213,   24,    0
210187,19790214,   54,    0
210187,19790215,   25,    0
210187,19790216,   25,    0
210187,19790217,   26,    0
210187,19790218,   26,    0
210187,19790219,   27,    0
210187,19790220,   27,    0
210187,19790221,   28,    0
210187,19790222,   63,    0
210187,19790223,  104,    0
210187,19790224,   58,    0
210187,19790225,  112,    0
210187,19790226,   82,    0
210187,19790227,   85,    0
210187,19790228,   64,    0
210187,19790301,  115,    0
210187,19790302,   35,    0
210187,19790303,   40,    0
210187,19790304,  140,    0
210187,19790305,  121,    0
210187,19790306,   95,    0
210187,19790307,  133,    0
210187,19790308,  113,    0
210187,19790309,   72,    0
210187,19790310,   40,    0
210187,19790311,   48,    0
210187,19790312,  115,    0
210187,19790313,   42,    0
210187,19790314,   43,    0
210187,19790315,   43,    0
210187,19790316,   44,    0
210187,19790317,  116,    0
210187,19790318,  119,    0
210187,19790319,   54,    0
210187,19790320,  116,    0
210187,19790321,  149,    0
