 SOUID,    DATE,   TN, Q_TN
105760,19790101,  -75,    0
105760,19790102,  -75,    0
105760,19790103,  -72,    0
105760,19790104,  -65,    0
105760,19790105,  -14,    0
105760,19790106,  -66,    0
105760,19790107,  -53,    0
105760,19790108,   53,    0
105760,19790109,   16,    0
105760,19790110,   14,    0
105760,19790111,    3,    0
105760,19790112,  -20,    0
105760,19790113,  -71,    0
105760,19790114,  -56,    0
105760,19790115,   10,    0
105760,19790116,   41,    1
105760,19790117,   16,    0
105760,19790118,   -2,    0
105760,19790119,  -14,    0
105760,19790120,  -10,    0
105760,19790121,  -35,    0
105760,19790122,  -18,    0
105760,19790123,  -23,    0
105760,19790124,  -56,    0
105760,19790125,  -45,    0
105760,19790126,  -11,    0
105760,19790127,  -52,    0
105760,19790128,  -44,    0
105760,19790129,  -10,    0
105760,19790130,  -26,    0
105760,19790131,  -31,    0
105760,19790201,   12,    0
105760,19790202,   15,    0
105760,19790203,  -41,    0
105760,19790204,  -12,    0
105760,19790205,   14,    0
105760,19790206,  -16,    0
105760,19790207,   -2,    0
105760,19790208,    3,    0
105760,19790209,    8,    0
105760,19790210,   21,    0
105760,19790211,   19,    0
105760,19790212,    3,    0
105760,19790213,    3,    1
105760,19790214,   -7,    1
105760,19790215,  -37,    0
105760,19790216,  -31,    0
105760,19790217,  -15,    0
105760,19790218,  -18,    0
105760,19790219,   -9,    0
105760,19790220,    3,    0
105760,19790221,    6,    0
105760,19790222,   12,    0
105760,19790223,    2,    0
105760,19790224,    3,    0
105760,19790225,  -34,    0
105760,19790226,  -34,    0
105760,19790227,  -15,    0
105760,19790228,   27,    0
105760,19790301,  -27,    0
105760,19790302,   16,    0
105760,19790303,   94,    0
105760,19790304,   43,    0
105760,19790305,   -1,    0
105760,19790306,   36,    0
105760,19790307,   19,    0
105760,19790308,    7,    0
105760,19790309,   45,    0
105760,19790310,    0,    0
105760,19790311,   27,    0
105760,19790312,   37,    0
105760,19790313,   44,    1
105760,19790314,   18,    0
105760,19790315,   12,    0
105760,19790316,    1,    0
105760,19790317,    1,    0
105760,19790318,   11,    0
105760,19790319,   24,    0
105760,19790320,   30,    0
105760,19790321,   29,    0
105760,19790322,    5,    0
105760,19790323,  -30,    0
105760,19790324,  -16,    0
105760,19790325,   50,    0
105760,19790326,   43,    0
105760,19790327,   30,    0
105760,19790328,   14,    0
105760,19790329,   19,    0
105760,19790330,   34,    0
105760,19790331,    3,    0
105760,19790401,   45,    0
105760,19790402,    5,    0
105760,19790403,  -11,    0
105760,19790404,    0,    0
105760,19790405,    0,    0
105760,19790406,  -17,    0
105760,19790407,   18,    0
105760,19790408,   42,    0
105760,19790409,   53,    0
105760,19790410,   75,    0
