 SOUID,    DATE,   SS, Q_SS
116439,19790101,   70,    0
116439,19790102,   17,    0
116439,19790103,    0,    0
116439,19790104,    0,    0
116439,19790105,   20,    0
116439,19790106,   38,    0
116439,19790107,    0,    0
116439,19790108,    1,    0
116439,19790109,   58,    0
116439,19790110,   19,    0
116439,19790111,   68,    0
116439,19790112,   64,    0
116439,19790113,   70,    0
116439,19790114,    0,    0
116439,19790115,    0,    0
116439,19790116,    0,    0
116439,19790117,    0,    0
116439,19790118,    0,    0
116439,19790119,    0,    0
116439,19790120,    0,    0
116439,19790121,    0,    0
116439,19790122,    0,    0
116439,19790123,    0,    0
116439,19790124,   48,    0
116439,19790125,    0,    0
116439,19790126,   26,    0
116439,19790127,   21,    0
116439,19790128,   31,    0
116439,19790129,   10,    0
116439,19790130,    8,    0
116439,19790131,   16,    0
116439,19790201,    0,    0
116439,19790202,   14,    0
116439,19790203,   87,    0
116439,19790204,    1,    0
116439,19790205,    8,    0
116439,19790206,   68,    0
116439,19790207,    0,    0
116439,19790208,   19,    0
116439,19790209,    0,    0
116439,19790210,    0,    0
116439,19790211,    0,    0
116439,19790212,    1,    0
116439,19790213,    0,    0
116439,19790214,   24,    0
116439,19790215,    0,    0
116439,19790216,    0,    0
116439,19790217,    0,    0
116439,19790218,    0,    0
116439,19790219,    0,    0
116439,19790220,    0,    0
116439,19790221,    0,    0
116439,19790222,   26,    0
116439,19790223,   74,    0
116439,19790224,   19,    0
116439,19790225,   81,    0
116439,19790226,   42,    0
116439,19790227,   44,    0
116439,19790228,   21,    0
116439,19790301,   64,    0
116439,19790302,    0,    0
116439,19790303,    1,    0
116439,19790304,   87,    0
116439,19790305,   64,    0
116439,19790306,   37,    0
116439,19790307,   74,    0
116439,19790308,   51,    0
116439,19790309,   16,    0
116439,19790310,    0,    0
116439,19790311,    2,    0
116439,19790312,   48,    0
116439,19790313,    0,    0
116439,19790314,    0,    0
116439,19790315,    0,    0
116439,19790316,    0,    0
116439,19790317,   43,    0
116439,19790318,   44,    0
116439,19790319,    2,    0
116439,19790320,   40,    0
116439,19790321,   67,    0
116439,19790322,   60,    0
116439,19790323,  107,    0
116439,19790324,   70,    0
116439,19790325,    7,    0
116439,19790326,   14,    0
116439,19790327,   58,    0
116439,19790328,   31,    0
116439,19790329,    7,    0
116439,19790330,    0,    0
116439,19790331,    2,    0
116439,19790401,   27,    0
116439,19790402,   34,    0
116439,19790403,   31,    0
116439,19790404,   27,    0
116439,19790405,   21,    0
116439,19790406,    1,    0
116439,19790407,   23,    0
116439,19790408,    0,    0
116439,19790409,   18,    0
116439,19790410,   13,    0
116439,19790411,   51,    0
116439,19790412,   48,    0
116439,19790413,   59,    0
116439,19790414,   94,    0
116439,19790415,   81,    0
116439,19790416,   99,    0
116439,19790417,    0,    0
116439,19790418,  109,    0
116439,19790419,    7,    0
116439,19790420,   24,    0
116439,19790421,    3,    0
116439,19790422,   43,    0
116439,19790423,    4,    0
116439,19790424,   29,    0
116439,19790425,   58,    0
116439,19790426,   55,    0
116439,19790427,   28,    0
116439,19790428,    8,    0
116439,19790429,    1,    0
116439,19790430,   67,    0
116439,19790501,    3,    0
116439,19790502,   72,    0
116439,19790503,   94,    0
116439,19790504,   99,    0
116439,19790505,   91,    0
116439,19790506,   88,    0
116439,19790507,   59,    0
116439,19790508,   32,    0
116439,19790509,   84,    0
116439,19790510,    5,    0
116439,19790511,    1,    0
116439,19790512,   49,    0
116439,19790513,  130,    0
116439,19790514,  142,    0
116439,19790515,  134,    0
116439,19790516,   67,    0
116439,19790517,  100,    0
116439,19790518,  107,    0
116439,19790519,  143,    0
116439,19790520,    0,    0
116439,19790521,   63,    0
116439,19790522,   87,    0
116439,19790523,   60,    0
116439,19790524,  100,    0
116439,19790525,   85,    0
116439,19790526,    9,    0
116439,19790527,   33,    0
116439,19790528,   13,    0
116439,19790529,   33,    0
116439,19790530,   17,    0
116439,19790531,    6,    0
116439,19790601,   68,    0
116439,19790602,   59,    0
116439,19790603,   20,    0
116439,19790604,    0,    0
116439,19790605,   62,    0
116439,19790606,   73,    0
116439,19790607,   25,    0
116439,19790608,   38,    0
116439,19790609,    3,    0
116439,19790610,   25,    0
116439,19790611,    2,    0
116439,19790612,    0,    0
116439,19790613,    6,    0
116439,19790614,   12,    0
116439,19790615,   32,    0
116439,19790616,   58,    0
116439,19790617,    6,    0
116439,19790618,   62,    0
116439,19790619,   98,    0
116439,19790620,  113,    0
116439,19790621,    6,    0
116439,19790622,  150,    0
116439,19790623,   61,    0
116439,19790624,   55,    0
116439,19790625,   86,    0
116439,19790626,   75,    0
116439,19790627,   59,    0
116439,19790628,   93,    0
116439,19790629,   55,    0
116439,19790630,    1,    0
116439,19790701,   36,    0
116439,19790702,   47,    0
116439,19790703,   71,    0
116439,19790704,   63,    0
116439,19790705,  125,    0
116439,19790706,   85,    0
116439,19790707,   55,    0
116439,19790708,   56,    0
116439,19790709,   81,    0
116439,19790710,   86,    0
116439,19790711,    6,    0
116439,19790712,  130,    0
116439,19790713,  103,    0
116439,19790714,  112,    0
116439,19790715,   45,    0
116439,19790716,   31,    0
116439,19790717,  119,    0
116439,19790718,    6,    0
116439,19790719,    7,    0
116439,19790720,   87,    0
116439,19790721,   35,    0
116439,19790722,    1,    0
116439,19790723,    4,    0
116439,19790724,   23,    0
116439,19790725,   58,    0
116439,19790726,  107,    0
116439,19790727,  113,    0
116439,19790728,   58,    0
116439,19790729,    9,    0
116439,19790730,    7,    0
116439,19790731,   59,    0
116439,19790801,   61,    0
116439,19790802,   53,    0
116439,19790803,   42,    0
116439,19790804,   72,    0
116439,19790805,   97,    0
116439,19790806,   55,    0
116439,19790807,   32,    0
116439,19790808,   27,    0
116439,19790809,   33,    0
116439,19790810,   55,    0
116439,19790811,   55,    0
116439,19790812,   15,    0
116439,19790813,    2,    0
116439,19790814,   81,    0
116439,19790815,   91,    0
116439,19790816,   62,    0
116439,19790817,    7,    0
116439,19790818,    1,    0
116439,19790819,    6,    0
116439,19790820,   64,    0
116439,19790821,   99,    0
116439,19790822,   81,    0
116439,19790823,   54,    0
116439,19790824,   27,    0
116439,19790825,   25,    0
116439,19790826,   74,    0
116439,19790827,   83,    0
116439,19790828,  125,    0
116439,19790829,  120,    0
116439,19790830,  106,    0
116439,19790831,    8,    0
116439,19790901,   46,    0
116439,19790902,   63,    0
116439,19790903,   16,    0
116439,19790904,   80,    0
116439,19790905,  113,    0
116439,19790906,   85,    0
116439,19790907,   86,    0
116439,19790908,   59,    0
116439,19790909,   37,    0
116439,19790910,   39,    0
116439,19790911,   95,    0
116439,19790912,   24,    0
116439,19790913,   99,    0
116439,19790914,   71,    0
116439,19790915,  106,    0
116439,19790916,  112,    0
116439,19790917,   52,    0
116439,19790918,    0,    0
116439,19790919,    0,    0
116439,19790920,  109,    0
116439,19790921,   64,    0
116439,19790922,   93,    0
116439,19790923,    5,    0
116439,19790924,   79,    0
116439,19790925,    6,    0
116439,19790926,   14,    0
116439,19790927,   65,    0
116439,19790928,   74,    0
116439,19790929,   69,    0
116439,19790930,   15,    0
116439,19791001,   46,    0
116439,19791002,   63,    0
116439,19791003,    7,    0
116439,19791004,   18,    0
116439,19791005,   91,    0
116439,19791006,   54,    0
116439,19791007,   57,    0
116439,19791008,   53,    0
116439,19791009,   39,    0
116439,19791010,    0,    0
116439,19791011,   71,    0
116439,19791012,   60,    0
116439,19791013,   24,    0
116439,19791014,   53,    0
116439,19791015,   27,    0
116439,19791016,   31,    0
116439,19791017,   17,    0
116439,19791018,   95,    0
116439,19791019,   57,    0
116439,19791020,    6,    0
116439,19791021,   37,    0
116439,19791022,   39,    0
116439,19791023,   43,    0
116439,19791024,   23,    0
116439,19791025,    0,    0
116439,19791026,    0,    0
116439,19791027,   61,    0
116439,19791028,   43,    0
116439,19791029,   80,    0
116439,19791030,    0,    0
116439,19791031,   54,    0
116439,19791101,   36,    0
116439,19791102,   76,    0
116439,19791103,    0,    0
116439,19791104,    0,    0
116439,19791105,   49,    0
116439,19791106,    1,    0
116439,19791107,    0,    0
116439,19791108,    0,    0
116439,19791109,   55,    0
116439,19791110,   75,    0
116439,19791111,    2,    0
116439,19791112,   34,    0
116439,19791113,   62,    0
116439,19791114,    1,    0
116439,19791115,    1,    0
116439,19791116,    0,    0
116439,19791117,    0,    0
116439,19791118,   65,    0
116439,19791119,   23,    0
116439,19791120,    0,    0
116439,19791121,    0,    0
116439,19791122,    0,    0
116439,19791123,    2,    0
116439,19791124,   56,    0
116439,19791125,    0,    0
116439,19791126,    0,    0
116439,19791127,    2,    0
116439,19791128,   24,    0
116439,19791129,   11,    0
116439,19791130,    6,    0
116439,19791201,   29,    0
116439,19791202,    0,    0
116439,19791203,   31,    0
116439,19791204,    7,    0
116439,19791205,    0,    0
116439,19791206,    0,    0
116439,19791207,    0,    0
116439,19791208,    0,    0
116439,19791209,    4,    0
116439,19791210,   38,    0
116439,19791211,    0,    0
116439,19791212,    0,    0
116439,19791213,   30,    0
116439,19791214,   44,    0
116439,19791215,    8,    0
116439,19791216,    4,    0
116439,19791217,    2,    0
116439,19791218,    3,    0
116439,19791219,   34,    0
116439,19791220,   23,    0
116439,19791221,   29,    0
116439,19791222,    0,    0
116439,19791223,    0,    0
116439,19791224,    0,    0
116439,19791225,   54,    0
116439,19791226,    5,    0
116439,19791227,    0,    0
116439,19791228,   20,    0
116439,19791229,   55,    0
116439,19791230,   22,    0
116439,19791231,   54,    0
116439,19800101,    1,    0
116439,19800102,   67,    0
116439,19800103,    0,    0
116439,19800104,   38,    0
116439,19800105,   10,    0
116439,19800106,   32,    0
116439,19800107,    7,    0
116439,19800108,    0,    0
116439,19800109,    4,    0
116439,19800110,    0,    0
116439,19800111,    7,    0
116439,19800112,    0,    0
116439,19800113,   59,    0
116439,19800114,   29,    0
116439,19800115,    1,    0
116439,19800116,   25,    0
116439,19800117,   63,    0
116439,19800118,    0,    0
116439,19800119,    0,    0
116439,19800120,   37,    0
116439,19800121,    7,    0
116439,19800122,   48,    0
116439,19800123,   63,    0
116439,19800124,   71,    0
116439,19800125,   66,    0
116439,19800126,   29,    0
116439,19800127,    6,    0
116439,19800128,    1,    0
116439,19800129,    4,    0
116439,19800130,   42,    0
116439,19800131,    7,    0
116439,19800201,   25,    0
116439,19800202,    9,    0
116439,19800203,    0,    0
116439,19800204,    0,    0
116439,19800205,    0,    0
116439,19800206,    0,    0
116439,19800207,    3,    0
116439,19800208,    1,    0
116439,19800209,    0,    0
116439,19800210,   84,    0
116439,19800211,   39,    0
116439,19800212,   35,    0
116439,19800213,    3,    0
116439,19800214,    0,    0
116439,19800215,   58,    0
116439,19800216,    0,    0
116439,19800217,   24,    0
116439,19800218,   34,    0
116439,19800219,   23,    0
116439,19800220,   11,    0
116439,19800221,    0,    0
116439,19800222,    6,    0
116439,19800223,   18,    0
116439,19800224,    0,    0
116439,19800225,   55,    0
116439,19800226,   15,    0
116439,19800227,    0,    0
116439,19800228,   64,    0
116439,19800229,   15,    0
116439,19800301,    0,    0
116439,19800302,   39,    0
116439,19800303,   83,    0
116439,19800304,   86,    0
116439,19800305,    6,    0
116439,19800306,    0,    0
116439,19800307,   22,    0
116439,19800308,   11,    0
116439,19800309,   48,    0
116439,19800310,    6,    0
116439,19800311,   14,    0
116439,19800312,    0,    0
116439,19800313,   80,    0
116439,19800314,    0,    0
116439,19800315,    0,    0
116439,19800316,    2,    0
116439,19800317,    1,    0
116439,19800318,    0,    0
116439,19800319,    0,    0
116439,19800320,   73,    0
116439,19800321,    1,    0
116439,19800322,   97,    0
116439,19800323,   43,    0
116439,19800324,    7,    0
116439,19800325,   64,    0
116439,19800326,   31,    0
116439,19800327,    1,    0
116439,19800328,   25,    0
116439,19800329,   48,    0
116439,19800330,   44,    0
116439,19800331,    0,    0
116439,19800401,   23,    0
116439,19800402,  115,    0
116439,19800403,  111,    0
116439,19800404,  114,    0
116439,19800405,   90,    0
116439,19800406,   12,    0
116439,19800407,   65,    0
116439,19800408,   95,    0
116439,19800409,   68,    0
116439,19800410,   60,    0
116439,19800411,   44,    0
116439,19800412,  123,    0
116439,19800413,   95,    0
116439,19800414,  102,    0
116439,19800415,   78,    0
116439,19800416,    0,    0
116439,19800417,   39,    0
116439,19800418,   56,    0
116439,19800419,   85,    0
116439,19800420,   23,    0
116439,19800421,  117,    0
116439,19800422,    0,    0
116439,19800423,    8,    0
116439,19800424,   21,    0
116439,19800425,    8,    0
116439,19800426,    1,    0
116439,19800427,    2,    0
116439,19800428,   13,    0
116439,19800429,   24,    0
116439,19800430,   20,    0
116439,19800501,   66,    0
116439,19800502,    3,    0
116439,19800503,    7,    0
116439,19800504,  118,    0
116439,19800505,   49,    0
116439,19800506,   59,    0
116439,19800507,    0,    0
116439,19800508,   22,    0
116439,19800509,  105,    0
116439,19800510,  130,    0
116439,19800511,  141,    0
116439,19800512,  135,    0
116439,19800513,  139,    0
116439,19800514,  140,    0
116439,19800515,  142,    0
116439,19800516,  143,    0
116439,19800517,  110,    0
116439,19800518,   73,    0
116439,19800519,  127,    0
116439,19800520,    0,    0
116439,19800521,   78,    0
116439,19800522,   29,    0
116439,19800523,   31,    0
116439,19800524,    3,    0
116439,19800525,    7,    0
116439,19800526,   88,    0
116439,19800527,   66,    0
116439,19800528,   70,    0
116439,19800529,   31,    0
116439,19800530,   99,    0
116439,19800531,    0,    0
116439,19800601,   45,    0
116439,19800602,    0,    0
116439,19800603,  115,    0
116439,19800604,  102,    0
116439,19800605,   96,    0
